sf_code,sf_name,tf_code,tf_name,city_id,marketing_area,business_line,rating,comment_count,grading,rate_grade,grade_comment,days_since_last_live
e5wzem,پاچینی ماچینی,547o61,پاچینی ماچینی,2,تهرانپارس-حکیمیه,Restaurant,7.880221698,114,Not Enough Comments,C,A,1
xdrly2,مطبخ زند,5k3g9w,مطبخ زند,2,فردوس - کاشانی - شهر زیبا,Restaurant,7.994622653,31,Not Enough Comments,C,B,2
r5o9zz,جگر ط,5zkwxl,جگر طُ,2,سعادت آباد - شهرک غرب,Restaurant,0,14,Not Enough Comments,No Rating,C,1
44qjl5,برگرلب,233w84,برگرلب,2,قیطریه-اندرزگو-دولت,Restaurant,9.168455534,23,Not Enough Comments,A,C,1
6dr91g,رستوران خانه‌ی دوست,2869ym,خانه‌ی دوست,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,5
vx1jmv,کترینگ ویان,5mmwg9,ویان,2,نازی آباد,Restaurant,8.704303795,49,Not Enough Comments,B,B,1
6dg9jw,پیتزا رویسنس,2o3ogx,رویسنس,2,سعادت آباد - شهرک غرب,Restaurant,9.249762672,129,Not Enough Comments,A,A,1
znde82,جگرسرای آذربایجان,2kly7m,جگرسرای آذربایجان,2,بازار - منیریه - گمرک,Restaurant,0,3,Not Enough Comments,No Rating,D,1
o9yz98,رستوران دیلِ باب,5nlr3k,دیلِ باب,2,پونک - باغ فیض‎,Restaurant,8.443460823,130,Not Enough Comments,B,A,1
gngz5m,کباب خوشاکو,2w1pyx,کباب خوشاکو,2,پونک - باغ فیض‎,Restaurant,9.455173155,9,Not Enough Comments,A,C,1
85o9x5,فست فود سیباش,58kl1z,سیباش,2,عباس آباد - سید خندان - قصر‎‎,Restaurant,0,0,Not Enough Comments,No Rating,D,1
y1xynr,کافه رستوران ب,28k1wk,کافه رستوران ب ,2,سعادت آباد - شهرک غرب,Restaurant,0,3,Not Enough Comments,No Rating,D,1
0wx228,کافه رستوران نیتارو,2r9717,کافه رستوران نیتارو,2,سعادت آباد - شهرک غرب,Restaurant,8.707251234,48,Not Enough Comments,B,B,1
zne2r1,فست فود بهترینه,59nkk3,فست فود بهترینه,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,5.178826192,23,Not Enough Comments,DANGER,C,7
272ydl,فست فود دایناسور,58kkpz,فست فود دایناسور,2,نیاوران‎ - آجودانیه,Restaurant,9.362553145,149,Not Enough Comments,A,A,1
o9gg1v,رستوران خانباجی,2k66pn,خانباجی,2,,Restaurant,8.029935452,31,Not Enough Comments,B,B,1
xdgkqy,فست فود تردک,2x4774,فست فود و سوخاری تردک,2,,Restaurant,10,11,Not Enough Comments,A,C,1
gnz65x,پیتزا بازی,269mwy,پیتزا بازی,2,سعادت آباد - شهرک غرب,Restaurant,0,1,Not Enough Comments,No Rating,D,1
dqlj57,کباب تابه ای حاج حسین,29nxp9,کباب تابه ای حاج حسین,2,شادآباد-خلیج فارس-تهرانسر,Restaurant,8.426785818,118,Not Enough Comments,B,A,1
wd4wz5,رستوران بشتی (پارک ساعی),26rnn4,بشتی (پارک ساعی),2,عباس آباد - سید خندان - قصر‎‎,Restaurant,6.654795865,143,Not Enough Comments,D,A,1
zn1jn2,کافه رستوران عمارت ماه,2691kg,عمارت ماه,2,قیطریه-اندرزگو-دولت,Restaurant,0,5,Not Enough Comments,No Rating,D,1
zn12lo,جگرکی کوهان,2r9gr3,جگرکی کوهان,2,پاسداران - هروی -دروس,Restaurant,8.098162281,81,Not Enough Comments,B,B,1
r5ykl8,فست فود کیمی لند,24w4xk,کیمی لند,2,,Restaurant,7.653244407,17,Not Enough Comments,C,C,1
jyjn9q,ساندویچ بار,571187,ساندویچ بار,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,4
jygln6,رستوران بشتی (طالقانی ),21k997,بشتی (طالقانی),2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,0,0,Not Enough Comments,No Rating,D,27
e55vq5,کافه رستوران ویواچه,2zkyo4,کافه رستوران ویواچه,2,جردن - ونک,Restaurant,8.059017708,152,Not Enough Comments,B,A,1
94wd5y,فینگرفود پاپیچ,2yowog,فینگرفود پاپیچ,2,نیاوران‎ - آجودانیه,Restaurant,9.244476311,42,Not Enough Comments,A,B,1
5o57xv,فست فود سها,2p8oxz,سها,2,اکباتان-آپادانا,Restaurant,0,1,Not Enough Comments,No Rating,D,11
wdwjw5,رستوران لونا,2o3k4z,رستوران لونا,2,ولنجک - زعفرانیه,Restaurant,9.313795389,46,Not Enough Comments,A,B,1
12jmrk,کبابخانه رابیو,2o3y97,کبابخانه رابیو,2,فردوس - کاشانی - شهر زیبا,Restaurant,7.436523695,113,Not Enough Comments,C,A,1
31z2zw,کافه فست فود پاب,547y4o,پاب,2,تهرانپارس-حکیمیه,Restaurant,7.684507846,146,Not Enough Comments,C,A,1
dqlold,پیتزا ایتالیا,2r9py8,پیتزا ایتالیا,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,8.738171015,144,Not Enough Comments,B,A,1
85gnx5,فست فود شمرون خان,5mmlnk,شمرون خان,2,نیاوران‎ - آجودانیه,Restaurant,8.056552949,9,Not Enough Comments,B,C,1
e594n5,موسیو سوخاری,2mm37g,موسیو سوخاری,2,اکباتان-آپادانا,Restaurant,8.205843328,144,Not Enough Comments,B,A,15
memnqr,کافه رستوران شکلات,2x747g,کافه رستوران شکلات,2,میدان خراسان - شوش,Restaurant,8.628870922,10,Not Enough Comments,B,C,1
27qj6q,سوخاری کیلویی دژ,28k831,سوخاری کیلویی دژ,2,پونک - باغ فیض‎,Restaurant,0,18,Not Enough Comments,No Rating,C,24
o9qdko,پیتزا تایم,2ymzz8,پیتزا تایم,2,تهرانپارس-حکیمیه,Restaurant,8.444658809,121,Not Enough Comments,B,A,1
zn185j,فست فود شقایق,2p84w6,فست فود شقایق,2,دریاچه- شهرک گلستان - دهکده المپیک,Restaurant,0,2,Not Enough Comments,No Rating,D,23
0rkmy8,فست فود پیاده رو,5nkmzz,فست فود پیاده رو ,2,صادقیه - ستارخان - مرزداران,Restaurant,8.643171607,71,Not Enough Comments,B,B,17
6drw6o,پیتزا بلوک,56r96p,پیتزا بلوک,2,,Restaurant,0,23,Not Enough Comments,No Rating,C,1
44qxwn,فست فود مگنت,5w73rw,مگنت,2,,Restaurant,0,7,Not Enough Comments,No Rating,C,1
6dg76n,مون برگر,2lwy47,مون برگر,2,ظفر - میرداماد,Restaurant,8.045711488,24,Not Enough Comments,B,C,24
qydqd2,فست فود 13,277x9g,فست فود 13,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,9.661430581,13,Not Enough Comments,A,C,132
447yyx,رستوران سرس,5698gr,سرس,2,قیطریه-اندرزگو-دولت,Restaurant,7.805799395,121,Not Enough Comments,C,A,2
nnv776,کافه رستوران لوزینه,2g9lg1,لوزینه,2,قیطریه-اندرزگو-دولت,Restaurant,0,6,Not Enough Comments,No Rating,C,1
meymkv,کترینگ مطبخ چی,5o3pg9,مطبخ‌چی,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,9.121872635,16,Not Enough Comments,A,C,1
r5oml8,پیتزا لند سام,5mmlwl,پیتزا لند,2,فردوس - کاشانی - شهر زیبا,Restaurant,0,1,Not Enough Comments,No Rating,D,17
mewmwz,فست فود اقتصادی رزماری,2klm19,فست فود اقتصادی رزماری,2,قیطریه-اندرزگو-دولت,Restaurant,8.837968229,181,Not Enough Comments,B,A,1
l2g1dj,آقای ساندویچ طهران,2o3xwn,آقای ساندویچ طهران,2,تهرانپارس-حکیمیه,Restaurant,9.311178948,22,Not Enough Comments,A,C,1
qyl7xx,مطبخ سفیران,2y4yxy,مطبخ سفیران,2,,Restaurant,0,4,Not Enough Comments,No Rating,D,1
dqmr8w,رستوران شاهو,59zgo2,رستوران شاهو ,2,قیطریه-اندرزگو-دولت,Restaurant,8.283102795,54,Not Enough Comments,B,B,1
dqlng7,کترینگ تیامو,5nky68,کترینگ ایرانی تیامو,2,فردوس - کاشانی - شهر زیبا,Restaurant,7.766869871,172,Not Enough Comments,C,A,1
wd9dx8,کافه رستوران دیدنیها,2w3l3z,دیدنیها,2,یوسف آباد - امیرآباد - گیشا‎,Restaurant,8.317167497,198,Not Enough Comments,B,A,1
27xk1d,فست فود طاق بستان,21ypwg,طاق بستان ,2,افسریه - آهنگ,Restaurant,8.08746353,163,Not Enough Comments,B,A,1
